Mês/Ano;UF;Município;Zona;Quantidade;%
Agosto - 2013;SP;MIRANTE DO PARANAPANEMA;238;14.399;0,046
Agosto - 2013;SP;MIRASSOL;72;39.956;0,127
Agosto - 2013;SP;MIRASSOLÂNDIA;72;3.538;0,011
Agosto - 2013;SP;MOCOCA;73;53.376;0,170
Agosto - 2013;SP;MOGI DAS CRUZES;74;95.517;0,304
Agosto - 2013;SP;MOGI DAS CRUZES;287;129.758;0,414
Agosto - 2013;SP;MOGI DAS CRUZES;319;56.606;0,180
Agosto - 2013;SP;MOGI GUAÇU;216;106.721;0,340
Agosto - 2013;SP;MOGI MIRIM;75;65.670;0,209
Agosto - 2013;SP;MOMBUCA;38;2.987;0,010
Agosto - 2013;SP;MONÇÕES;162;1.927;0,006
Agosto - 2013;SP;MONGAGUÁ;189;40.317;0,128
Agosto - 2013;SP;MONTE ALEGRE DO SUL;8;5.634;0,018
Agosto - 2013;SP;MONTE ALTO;76;36.545;0,116
Agosto - 2013;SP;MONTE APRAZÍVEL;77;15.790;0,050
Agosto - 2013;SP;MONTE AZUL PAULISTA;171;15.441;0,049
Agosto - 2013;SP;MONTE CASTELO;175;3.298;0,011
Agosto - 2013;SP;MONTE MOR;358;37.271;0,119
Agosto - 2013;SP;MONTEIRO LOBATO;282;3.529;0,011
Agosto - 2013;SP;MORRO AGUDO;336;20.154;0,064
Agosto - 2013;SP;MORUNGABA;58;9.577;0,031
Agosto - 2013;SP;MOTUCA;385;3.689;0,012
Agosto - 2013;SP;MURUTINGA DO SUL;9;3.475;0,011
Agosto - 2013;SP;NANTES;106;2.314;0,007
Agosto - 2013;SP;NARANDIBA;261;3.948;0,013
Agosto - 2013;SP;NATIVIDADE DA SERRA;84;6.704;0,021
Agosto - 2013;SP;NAZARÉ PAULISTA;16;13.425;0,043
Agosto - 2013;SP;NEVES PAULISTA;72;7.494;0,024
Agosto - 2013;SP;NHANDEARA;162;8.009;0,026
Agosto - 2013;SP;NIPOÃ;77;3.710;0,012
Agosto - 2013;SP;NOVA ALIANÇA;126;5.151;0,016
Agosto - 2013;SP;NOVA CAMPINA;53;6.811;0,022
Agosto - 2013;SP;NOVA CANAÃ PAULISTA;187;2.042;0,007
Agosto - 2013;SP;NOVA CASTILHO;168;1.295;0,004
Agosto - 2013;SP;NOVA EUROPA;239;7.883;0,025
Agosto - 2013;SP;NOVA GRANADA;78;15.101;0,048
Agosto - 2013;SP;NOVA GUATAPORANGA;175;1.885;0,006
Agosto - 2013;SP;NOVA INDEPENDÊNCIA;9;2.886;0,009
Agosto - 2013;SP;NOVA LUZITÂNIA;162;2.784;0,009
Agosto - 2013;SP;NOVA ODESSA;292;40.978;0,131
Agosto - 2013;SP;NOVAIS;179;3.416;0,011
Agosto - 2013;SP;NOVO HORIZONTE;79;28.062;0,089
Agosto - 2013;SP;NUPORANGA;235;5.346;0,017
Agosto - 2013;SP;OCAUÇU;180;3.446;0,011
Agosto - 2013;SP;ÓLEO;94;2.739;0,009
Agosto - 2013;SP;OLÍMPIA;80;38.940;0,124
Agosto - 2013;SP;ONDA VERDE;78;3.465;0,011
Agosto - 2013;SP;ORIENTE;180;5.057;0,016
Agosto - 2013;SP;ORINDIÚVA;164;4.646;0,015
Agosto - 2013;SP;ORLÂNDIA;81;30.412;0,097
Agosto - 2013;SP;OSASCO;213;26.844;0,086
Agosto - 2013;SP;OSASCO;276;90.345;0,288
Agosto - 2013;SP;OSASCO;277;82.532;0,263
Agosto - 2013;SP;OSASCO;285;49.515;0,158
Agosto - 2013;SP;OSASCO;315;114.728;0,366
Agosto - 2013;SP;OSASCO;331;114.320;0,364
Agosto - 2013;SP;OSASCO;332;67.939;0,217
Agosto - 2013;SP;OSCAR BRESSANE;12;2.654;0,008
Agosto - 2013;SP;OSVALDO CRUZ;163;24.230;0,077
Agosto - 2013;SP;OURINHOS;82;75.818;0,242
Agosto - 2013;SP;OURO VERDE;149;5.776;0,018
Agosto - 2013;SP;OUROESTE;302;7.282;0,023
Agosto - 2013;SP;PACAEMBU;154;8.935;0,028
